,lat,lon,NAME,CAT,SHAPE
0,52.356361,4.997021,IJburg volgens mij.,Other Great Outdoors,"{'x': 52.356361, 'y': 4.997021, 'spatialReference': {'wkid': 4326}}"
1,52.352236531042,4.987964630127,Diemerpark,Park,"{'x': 52.352236531042, 'y': 4.987964630127, 'spatialReference': {'wkid': 4326}}"
2,52.356348786984995,4.9969601915438,IJmeer,Other Great Outdoors,"{'x': 52.356348786984995, 'y': 4.9969601915438, 'spatialReference': {'wkid': 4326}}"
3,52.356276,4.997254,Mijn balkon met stoel uit Burkina Faso,Neighborhood,"{'x': 52.356276, 'y': 4.997254, 'spatialReference': {'wkid': 4326}}"
4,52.356464,4.996969,Diemerparklaan,Other Great Outdoors,"{'x': 52.356464, 'y': 4.996969, 'spatialReference': {'wkid': 4326}}"
5,52.356452000000004,4.997056,Polygoongracht,Pool,"{'x': 52.356452000000004, 'y': 4.997056, 'spatialReference': {'wkid': 4326}}"
6,52.35317363318401,5.004712343215901,Jachthaven ijburg,Surf Spot,"{'x': 52.35317363318401, 'y': 5.004712343215901, 'spatialReference': {'wkid': 4326}}"
7,52.356383,4.9969730000000006,Tuin Van Vrienden,Garden,"{'x': 52.356383, 'y': 4.9969730000000006, 'spatialReference': {'wkid': 4326}}"
8,52.358934000000005,4.996341999999999,Zeeburg,Neighborhood,"{'x': 52.358934000000005, 'y': 4.996341999999999, 'spatialReference': {'wkid': 4326}}"
9,52.357586959523,4.992984267812901,Maria Austriastraat in Ijburg,Other Great Outdoors,"{'x': 52.357586959523, 'y': 4.992984267812901, 'spatialReference': {'wkid': 4326}}"
10,52.356570785914,4.9921367599502,IJburglaan,Other Great Outdoors,"{'x': 52.356570785914, 'y': 4.9921367599502, 'spatialReference': {'wkid': 4326}}"
11,52.357249384329,4.9957458829493,Speeltuin Talbotstraat,Playground,"{'x': 52.357249384329, 'y': 4.9957458829493, 'spatialReference': {'wkid': 4326}}"
12,52.357778,4.992011,iBurg,Island,"{'x': 52.357778, 'y': 4.992011, 'spatialReference': {'wkid': 4326}}"
13,52.350178768514006,5.0053882598877,Theo van Goghpark,Park,"{'x': 52.350178768514006, 'y': 5.0053882598877, 'spatialReference': {'wkid': 4326}}"
14,52.355045000000004,4.996358,Marc's Place,Beer Garden,"{'x': 52.355045000000004, 'y': 4.996358, 'spatialReference': {'wkid': 4326}}"
15,52.359315,4.996258,Bert Haanstra Kade,Scenic Lookout,"{'x': 52.359315, 'y': 4.996258, 'spatialReference': {'wkid': 4326}}"
16,52.355692244204995,4.9947434363994,Rondje IJburg,Athletics & Sports,"{'x': 52.355692244204995, 'y': 4.9947434363994, 'spatialReference': {'wkid': 4326}}"
17,52.356341851732,4.9945360563473,2013,Arcade,"{'x': 52.356341851732, 'y': 4.9945360563473, 'spatialReference': {'wkid': 4326}}"
18,52.36073854995999,4.9907092442671,Haveneiland,Neighborhood,"{'x': 52.36073854995999, 'y': 4.9907092442671, 'spatialReference': {'wkid': 4326}}"
19,52.35313,4.996105,Glijbaan Egelkopstraat,Playground,"{'x': 52.35313, 'y': 4.996105, 'spatialReference': {'wkid': 4326}}"
20,52.359096564423,4.9935146341032,Speeltuin Dageurrestraat,Playground,"{'x': 52.359096564423, 'y': 4.9935146341032, 'spatialReference': {'wkid': 4326}}"
21,52.355837716039,4.9795123384285995,AHC IJburg (hockeyclub),Field,"{'x': 52.355837716039, 'y': 4.9795123384285995, 'spatialReference': {'wkid': 4326}}"
22,52.353571187863,4.9996132069088,Sem Presserhof Speeltuin,Playground,"{'x': 52.353571187863, 'y': 4.9996132069088, 'spatialReference': {'wkid': 4326}}"
23,52.351168,5.00542,IJpark,Park,"{'x': 52.351168, 'y': 5.00542, 'spatialReference': {'wkid': 4326}}"
24,52.353161032779,5.0056608999175,Haven IJburg,Harbor / Marina,"{'x': 52.353161032779, 'y': 5.0056608999175, 'spatialReference': {'wkid': 4326}}"
25,52.353834,5.0065610000000005,Amsterdam Dance Centre IJburg,Dance Studio,"{'x': 52.353834, 'y': 5.0065610000000005, 'spatialReference': {'wkid': 4326}}"
26,52.353991,5.000551000000001,Brug jachthaven IJburg,Bridge,"{'x': 52.353991, 'y': 5.000551000000001, 'spatialReference': {'wkid': 4326}}"
27,52.354420000000005,5.00605,Sluis Jachthaven IJburg,Harbor / Marina,"{'x': 52.354420000000005, 'y': 5.00605, 'spatialReference': {'wkid': 4326}}"
28,52.35931,4.990564,Joris Ivensplein,Playground,"{'x': 52.35931, 'y': 4.990564, 'spatialReference': {'wkid': 4326}}"
29,52.356817,4.9795381753565,AFC IJburg,Soccer Field,"{'x': 52.356817, 'y': 4.9795381753565, 'spatialReference': {'wkid': 4326}}"
30,52.359027000000005,4.990614,Magic Circus op IJburg,General Entertainment,"{'x': 52.359027000000005, 'y': 4.990614, 'spatialReference': {'wkid': 4326}}"
31,52.357488240270996,4.9896737587739,Nijlpaard sluis,Lake,"{'x': 52.357488240270996, 'y': 4.9896737587739, 'spatialReference': {'wkid': 4326}}"
32,52.360677045178,4.9903369280245,De 100m Rode Bank,Public Art,"{'x': 52.360677045178, 'y': 4.9903369280245, 'spatialReference': {'wkid': 4326}}"
33,52.354403260502,4.9899836066328005,Pornoboot,Harbor / Marina,"{'x': 52.354403260502, 'y': 4.9899836066328005, 'spatialReference': {'wkid': 4326}}"
34,52.350211052712005,5.0002149741818,Strand Ijburg,Beach,"{'x': 52.350211052712005, 'y': 5.0002149741818, 'spatialReference': {'wkid': 4326}}"
35,52.354438361914,4.9868488311768,Diemerstrandje,Beach,"{'x': 52.354438361914, 'y': 4.9868488311768, 'spatialReference': {'wkid': 4326}}"
36,52.353165592877,5.008525318364599,Surfschool ijburg,Harbor / Marina,"{'x': 52.353165592877, 'y': 5.008525318364599, 'spatialReference': {'wkid': 4326}}"
37,52.35533347974,4.9791699826672,HCA IJburg,Other Great Outdoors,"{'x': 52.35533347974, 'y': 4.9791699826672, 'spatialReference': {'wkid': 4326}}"
38,52.350195275823005,5.0058370270675,Stormbaan,Athletics & Sports,"{'x': 52.350195275823005, 'y': 5.0058370270675, 'spatialReference': {'wkid': 4326}}"
39,52.3589333322,4.990759585396099,Kermis IJburg,Theme Park,"{'x': 52.3589333322, 'y': 4.990759585396099, 'spatialReference': {'wkid': 4326}}"
40,52.357820000000004,4.989874362945599,Zanzibar Bar Privé,Bar,"{'x': 52.357820000000004, 'y': 4.989874362945599, 'spatialReference': {'wkid': 4326}}"
41,Other,Other,4.7493953517041,Other,"{'x': nan, 'y': nan, 'spatialReference': {'wkid': 4326}}"
